#  i    j     Ez     Tz    Tzl
   8   54    4.9    4.9    4.9
   8   55    4.9    4.9    4.9
   8   56    4.9    4.9    4.9
   8   57    4.7    4.7    4.7
   8   58    4.7    4.7    4.7
   8   59    4.5    4.5    4.5
   8   60    2.9    2.9    2.9
   8   61    2.3    2.3    2.3
   8   62    2.2    2.2    2.2
   8   63    2.3    2.3    2.3
   8   64    3.3    3.3    3.3
   8   65    5.4    5.4    5.4
   8   66    8.5    8.5    8.5
   8   67    9.4    9.4    9.4
   8   68    8.2    8.2    8.2
   8   69    7.5    7.5    7.5
   8   70    6.9    6.9    6.9
   8   71    6.9    6.9    6.9
   8   72    7.9    7.9    7.9
   8   73   10.6   10.6   10.6
   8   74   10.6   10.6   10.6
   8   75   10.1   10.1   10.1
   8   76    8.6    8.6    8.6
   8   77   11.2   11.2   11.2
   8   78    9.2    9.2    9.2
   8   79    9.4    9.4    9.4
   8   80    7.7    7.7    7.7
   8   81    9.5    9.5    9.5
   8   82    9.0    9.0    9.0
   8   83    8.6    8.6    8.6
   8   84    9.0    9.0    9.0
   8   85    9.1    9.1    9.1
   8   86    9.3    9.3    9.3
   8   87    9.3    9.3    9.3
   8   88    9.0    9.0    9.0
   8   89    9.6    9.6    9.6
   8   90    9.3    9.3    9.3
   8   91    9.1    9.1    9.1
   8   92    9.2    9.2    9.2
   8   93    3.1    3.1    3.1
   8   94    5.9    5.9    5.9
   8   95    6.2    6.2    6.2
   8   96    3.9    3.9    3.9
   8   97    3.7    3.7    3.7
   8   98    3.4    3.4    3.4
   8   99    4.5    4.5    4.5
   8  100    4.7    4.7    4.7
   9    1    2.9    7.4    2.9
   9    2    2.7   16.8    2.7
   9    3    2.6   23.2    2.6
   9    4    2.6   20.6    2.6
   9    5    2.6   10.3    2.6
   9    6    2.3    2.3    2.3
   9    7    2.1    2.1    2.1
   9    8    2.1    2.1    2.1
   9    9    2.2    2.2    2.2
   9   10    2.4    2.4    2.4
   9   11    2.9    3.2    2.9
   9   12    3.1    3.5    3.1
   9   13    2.8    2.8    2.8
   9   14    2.9    2.9    2.9
   9   15    2.9    2.9    2.9
